Name,URL,Language
BOUT++,https://github.com/boutproject/BOUT-dev,C++
CGYRO,https://github.com/gafusion/gacode/tree/master/cgyro,Fortran
COGENT,https://github.com/LLNL/COGENT,C++
GENE,https://genecode.org/,Fortran
GENE-X,https://gitlab.mpcdf.mpg.de/phoenix-public/genex,Fortran
Gkeyll,https://github.com/ammarhakim/gkeyll,C
GX,https://bitbucket.org/gyrokinetics/gx/src/gx/,C++
GYSELA,https://gyselax.github.io/,Fortran
Gyselalib++,https://github.com/gyselax/gyselalibxx,C++
Hermes-3,https://github.com/boutproject/hermes-3,C++
NEO,https://github.com/gafusion/gacode/tree/master/neo,Fortran
SOLPS-ITER,https://github.com/iterorganization/SOLPS-ITER,Fortran
TGYRO,https://github.com/gafusion/gacode/tree/master/tgyro,Fortran
TORAX,https://github.com/google-deepmind/torax,Python
UEDGE,https://github.com/llnl/UEDGE,Fortran
